cowcode,iso3166,country_ID,country_name,abbr_country,year,n_instdepth,n_policyautonomy,n_fiscalautonomy,n_borrowautonomy,n_representation,n_lawmaking,n_execcontrol,n_fiscalcontrol,n_borrowcontrol,n_constitutional,n_selfrule,n_sharedrule,n_RAI,COMPONENTS,n_representation,n_assembly,n_executive,n_lawmaking,n_L1lawmaking,n_L2lawmaking,n_L3lawmaking,n_L4lawmaking,n_L5lawmaking,n_L6lawmaking
339,8,1,Albania,ALB,1992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,1999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2000,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2001,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2002,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2003,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2004,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2005,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2006,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2007,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2008,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2009,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2010,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2011,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2012,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2013,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2014,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2015,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2016,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2017,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,8,1,Albania,ALB,2018,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
900,36,2,Australia,AUS,1950,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1951,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1952,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1953,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1954,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
900,36,2,Australia,AUS,1955,2.95,3.89,1.95,0.97,3.89,1.49,1.95,0.97,1.95,2.92,13.66,9.28,22.93,,3.89,1.95,1.95,1.49,0.50,0.00,0.49,0.49,0.01,0.00
